Null,Object_id,Hex,Color name,Size
2659,16584,#af978b,darkslategrey,26
2660,16781,#10110d,darkolivegreen,16
2661,19056,#000000,darkolivegreen,25
2662,19826,#2a241c,black,28
2663,7499,#23211c,black,14
2664,11212,#dad1c5,black,14
2665,11215,#a38b7f,black,1
2666,11223,#120a09,black,5
2667,11224,#d3e1cf,black,24
2668,13499,#4e4b3b,darkolivegreen,17
2669,16906,#846339,peru,25
2670,10028,#a9b59b,darkgrey,5
2671,11370,#544032,darkolivegreen,6
2672,11379,#6b5b3e,darkkhaki,13
2673,11383,#392924,saddlebrown,14
2674,10035,#535353,lightgrey,12
2675,11974,#010100,darkkhaki,13
2676,11975,#222222,lightgrey,7
2677,11976,#68442d,sienna,13
2678,11977,#1b1a1d,darkkhaki,9
2679,11979,#857b4b,darkslategrey,17
2680,11980,#000000,saddlebrown,15
2681,11981,#4c4418,darkgoldenrod,15
2682,12856,#aea184,grey,9
2683,10049,#3f3b32,darkolivegreen,20
2684,10061,#828f7a,darkslategrey,8
2685,10062,#1d1819,black,6
2686,10063,#a9a69a,silver,12
2687,10065,#010000,darkolivegreen,14
2688,10066,#b8a582,grey,16
2689,10067,#676e4b,dimgrey,12
2690,10068,#543f35,darkslategrey,10
2691,12970,#5b4e33,olivedrab,3
2692,10070,#42332f,dimgrey,6
2693,10075,#382d18,saddlebrown,36
2694,10076,#e4e4e4,silver,1
2695,10077,#521c13,darkolivegreen,11
2696,10080,#75664c,rosybrown,17
2697,14931,#f2d8a8,peru,12
2698,10081,#574834,dimgrey,2
2699,10085,#2a2823,darkslategrey,27
2700,10092,#705c3d,black,10
2701,10093,#7d878f,darkolivegreen,4
2702,10116,#9f9f9f,grey,6
2703,10131,#b7b7b7,darkgrey,19
2704,10136,#a78788,black,9
2705,10138,#372229,darkslategrey,31
2706,10149,#423f33,darkslategrey,10
2707,10150,#926b1a,sienna,12
2708,10151,#535155,black,15
2709,10152,#807564,dimgrey,4
2710,10154,#d5deda,dimgrey,4
2711,10155,#c8ae8f,rosybrown,5
2712,10156,#9d9d9d,darkgrey,14
2713,10158,#1a141a,grey,9
2714,12849,#8c8c8c,dimgrey,6
2715,10159,#714921,wheat,8
2716,10174,#1f170f,black,6
2717,10175,#9b8c89,darkslategrey,18
2718,10176,#605d53,silver,14
2719,10177,#eee8e0,darkslategrey,25
2720,10185,#2d2213,black,26
2721,10186,#84714f,darkolivegreen,15
2722,10190,#868c80,darkseagreen,9
2723,10191,#1d282b,darkslategrey,28
2724,10194,#886d40,darkseagreen,11
2725,10207,#8c7972,rosybrown,13
2726,10209,#917e4a,lightslategrey,7
2727,13452,#745a2d,darkolivegreen,6
2728,13453,#9f9974,grey,7
2729,10210,#4b290a,maroon,23
2730,10215,#c3c9bb,darkkhaki,11
2731,10235,#6e6758,darkslategrey,14
2732,10239,#493428,darkslategrey,5
2733,10240,#a98c65,rosybrown,26
2734,10241,#645b58,dimgrey,10
2735,10246,#3e403e,gainsboro,15
2736,10247,#857d67,darkgrey,16
2737,10258,#282828,silver,20
2738,10259,#393222,black,36
2739,10353,#2f2f2f,darkslategrey,9
2740,10371,#745726,saddlebrown,14
2741,18447,#d5cdb7,darkslategrey,13
2742,10421,#261a16,black,19
2743,13401,#8c8c8c,darkslategrey,16
2744,10423,#2a170f,black,34
2745,20888,#7b5c3b,black,13
2746,10431,#010101,dimgrey,27
2747,18354,#423225,darkslategrey,6
2748,10435,#f0f0f0,darkgrey,7
2749,10436,#858585,darkgrey,7
2750,10437,#6d6f66,darkslategrey,14
2751,10438,#a27d69,darkgrey,10
2752,10439,#afacab,darkslategrey,16
2753,10440,#91897f,grey,9
2754,10441,#9b8a76,grey,18
2755,10442,#817a74,darkgrey,12
2756,10443,#929088,dimgrey,13
2757,10444,#9e6a59,sienna,10
2758,10445,#a9a094,darkgrey,8
2759,10446,#545353,grey,10
2760,10447,#69635f,grey,12
2761,10449,#81918f,slategrey,18
2762,10450,#b0adac,rosybrown,14
2763,10451,#c3b8a9,darkgrey,7
2764,10452,#a6a49c,darkgrey,12
2765,10453,#959f9e,darkgrey,16
2766,10454,#3e4544,darkgrey,15
2767,10455,#5f5e5c,dimgrey,5
2768,10456,#aca8a9,rosybrown,15
2769,10457,#836e5e,dimgrey,7
2770,10458,#706866,darkgrey,9
2771,10459,#5a5650,darkgrey,13
2772,10460,#95a69f,darkgrey,10
2773,10461,#a57863,darkslategrey,7
2774,10462,#acaba8,grey,6
2775,10463,#5d564f,rosybrown,12
2776,10464,#c19462,lightgrey,7
2777,10465,#0b0504,saddlebrown,8
2778,10466,#785b4d,darkslategrey,15
2779,10467,#131313,darkslategrey,5
2780,10468,#614933,rosybrown,3
2781,10469,#b39561,black,1
2782,10470,#1d1815,black,11
2783,10471,#53361b,darkolivegreen,9
2784,10472,#8b7c5c,tan,5
2785,10473,#6f6c63,dimgrey,27
2786,10474,#d8a54e,sienna,8
2787,10475,#95865b,grey,25
2788,10476,#050403,black,8
2789,10478,#7d6145,darkslategrey,16
2790,10480,#d2b185,dimgrey,7
2791,10481,#a47f33,darkolivegreen,18
2792,10482,#020101,sienna,11
2793,10491,#232a18,black,10
2794,10492,#929292,lightslategrey,18
2795,10496,#c2a27b,wheat,18
2796,10497,#29240d,black,13
2797,10499,#251d0d,rosybrown,19
2798,10501,#a38a71,rosybrown,15
2799,20639,#af9981,darkslategrey,10
2800,21693,#433221,darkslategrey,3
2801,10503,#c7c1bf,darkslategrey,17
2802,10504,#939393,lightslategrey,15
2803,10507,#d9c8c0,grey,17
2804,10508,#84857f,grey,13
2805,10516,#41423f,darkslategrey,34
2806,10517,#bdb39c,darkslategrey,31
2807,10521,#5d756c,darkgrey,15
2808,10522,#0f0e10,tan,21
2809,10526,#3b2a21,darkgrey,8
2810,10527,#211b18,darkolivegreen,4
2811,10530,#010000,darkolivegreen,24
2812,10531,#6b4934,saddlebrown,45
2813,10533,#1e2122,gainsboro,24
2814,10534,#c1ad8c,grey,9
2815,10535,#a37047,black,10
2816,10537,#563e20,black,7
2817,10554,#846a44,sienna,10
2818,16958,#879380,dimgrey,13
2819,16959,#d2caaf,darkslategrey,16
2820,10584,#d9b484,saddlebrown,5
2821,10586,#9b9370,grey,6
2822,10587,#606060,darkgrey,7
2823,10589,#6b4d1e,saddlebrown,6
2824,10590,#18100e,darkolivegreen,6
2825,10612,#867245,darkslategrey,41
2826,10767,#040403,rosybrown,13
2827,10768,#7d6633,grey,9
2828,10769,#e7edee,darkgrey,8
2829,10771,#403225,darkslategrey,13
2830,10777,#6d614c,darkslategrey,17
2831,17897,#574221,grey,15
2832,10783,#c6c59b,tan,36
2833,10784,#403128,burlywood,32
2834,10785,#442b10,black,20
2835,10786,#cdae6f,dimgrey,14
2836,10788,#524325,darkolivegreen,5
2837,10790,#423923,black,2
2838,10791,#212121,darkslategrey,9
2839,10793,#866c37,black,15
2840,10794,#232b1f,darkolivegreen,36
2841,10795,#2d3236,darkgrey,10
2842,10796,#26261e,tan,4
2843,10798,#6c502d,darkslategrey,14
2844,10799,#676767,dimgrey,19
2845,10800,#78694a,dimgrey,7
2846,10801,#8b9fb0,darkslategrey,16
2847,10805,#5d503e,dimgrey,8
2848,10806,#473f30,black,20
2849,10808,#dadaca,lightgrey,24
2850,10809,#ccb782,peru,10
2851,10810,#030202,darkolivegreen,18
2852,10811,#000000,lightslategrey,11
2853,10812,#7f280d,saddlebrown,30
2854,10813,#d5b185,maroon,23
2855,10817,#283435,darkgrey,9
2856,10819,#564130,dimgrey,12
2857,10820,#1a1e1d,dimgrey,9
2858,10824,#050403,silver,3
2859,10825,#231a11,peru,3
2860,10827,#22191b,black,19
2861,10828,#98907d,black,3
2862,10830,#1e1717,black,13
2863,10833,#beb18f,tan,19
2864,10834,#7c6533,black,7
2865,10835,#434942,dimgrey,22
2866,14419,#887760,grey,25
2867,10836,#505050,darkslategrey,11
2868,10837,#503c22,rosybrown,18
2869,10845,#a2937d,black,27
2870,10848,#f7d079,darkgrey,5
2871,10849,#161616,black,2
2872,10850,#5a4b33,darkslategrey,15
2873,10851,#6f6f6f,darkgrey,5
2874,10852,#483e3b,gainsboro,35
2875,10853,#0c0c0c,grey,2
2876,10858,#8f958a,darkslategrey,10
2877,10859,#312c1d,darkolivegreen,13
2878,10860,#0b0b0b,darkslategrey,34
2879,10861,#666666,darkgrey,11
2880,10862,#222222,black,10
2881,10863,#131313,dimgrey,6
2882,10864,#8e8671,dimgrey,22
2883,10866,#909090,dimgrey,10
2884,10867,#717171,darkslategrey,15
2885,10874,#f1dbc2,black,18
2886,10878,#93825f,darkolivegreen,12
2887,10879,#ba9860,darkkhaki,12
2888,10880,#3b2f1f,darkolivegreen,16
2889,10890,#5a5a5a,dimgrey,1
2890,10895,#494949,black,11
2891,10905,#a3a3a3,gainsboro,34
2892,10919,#535b50,darkslategrey,25
2893,10922,#8a8a8a,dimgrey,4
2894,10923,#1d1d1d,darkgrey,1
2895,10924,#616161,dimgrey,13
2896,10925,#090703,darkolivegreen,18
2897,10934,#b7b2ab,darkslategrey,15
2898,10944,#5d4924,darkolivegreen,10
2899,10945,#825833,saddlebrown,14
2900,10946,#040202,saddlebrown,9
2901,10947,#723b06,darkkhaki,8
2902,10966,#a1947b,dimgrey,9
2903,10967,#685f37,saddlebrown,15
2904,10975,#5f5f5f,gainsboro,2
2905,10976,#9d936a,grey,18
2906,14472,#94815a,black,26
2907,20129,#886138,sienna,7
2908,10984,#e8e8e8,darkslategrey,17
2909,10988,#666666,darkslategrey,9
2910,10989,#0b0b0b,darkslategrey,8
2911,10990,#7f7158,darkslategrey,22
2912,10991,#2a2a2a,grey,31
2913,10993,#e5dbc0,wheat,3
2914,10994,#bb9553,peru,22
2915,10995,#020102,darkslategrey,30
2916,10997,#28271c,black,9
2917,11006,#2e2c0d,darkolivegreen,14
2918,11007,#2f2f2f,darkslategrey,5
2919,11008,#434343,grey,10
2920,13454,#312410,black,19
2921,11011,#332916,darkslategrey,11
2922,11012,#c6c6c6,silver,15
2923,11020,#412c19,darkslategrey,11
2924,13368,#bdb3a7,darkgrey,1
2925,11042,#b3aea5,rosybrown,30
2926,11050,#3a362c,darkslategrey,22
2927,11051,#c0a692,darkolivegreen,10
2928,11052,#0a0c0c,rosybrown,16
2929,11053,#2b2b18,black,8
2930,11054,#766447,darkslategrey,26
2931,11055,#ae893a,darkslategrey,4
2932,11057,#372821,grey,38
2933,11058,#22282c,wheat,27
2934,11062,#c3e1ec,lightsteelblue,11
2935,11079,#695439,darkslategrey,10
2936,11080,#4a3011,saddlebrown,10
2937,11081,#c6bb8c,saddlebrown,15
2938,11082,#7c6658,darkslategrey,10
2939,12978,#d0ded4,silver,14
2940,11083,#4b4a38,darkgrey,7
2941,11101,#c2bfc5,darkgrey,8
2942,11103,#ba9143,black,8
2943,11104,#785818,black,1
2944,11105,#292929,silver,14
2945,11107,#b1b1b1,darkslategrey,13
2946,11111,#4d412c,black,4
2947,11112,#020001,black,1
2948,11113,#a1a9a6,darkslategrey,22
2949,11116,#978959,darkslategrey,25
2950,11117,#b49b64,darkolivegreen,6
2951,11122,#2f3634,darkslategrey,13
2952,11123,#433618,darkolivegreen,13
2953,11126,#989fa2,darkgrey,17
2954,11127,#111111,dimgrey,8
2955,11130,#6b7679,lightgrey,5
2956,11133,#dee8d3,silver,10
2957,11134,#9e7644,darkseagreen,11
2958,11135,#4c4c4c,lightgrey,9
2959,11136,#729499,grey,12
2960,11137,#7f695d,dimgrey,20
2961,11140,#beb698,saddlebrown,11
2962,11141,#5c3922,saddlebrown,9
2963,11142,#433625,darkslategrey,5
2964,11145,#be973c,darkseagreen,4
2965,11159,#826840,darkkhaki,23
2966,11160,#c0ab82,darkslategrey,10
2967,11168,#bd9d95,dimgrey,23
2968,11170,#ae976f,darkkhaki,6
2969,11173,#4f4f4f,dimgrey,21
2970,11174,#3a3431,darkolivegreen,28
2971,11175,#b3a47a,black,14
2972,11176,#585858,darkgrey,7
2973,11177,#4d5053,dimgrey,22
2974,11179,#644d2e,darkkhaki,8
2975,11180,#a29c8c,rosybrown,42
2976,11181,#f7f7f7,grey,10
2977,11182,#d1b27b,khaki,9
2978,11184,#888888,darkgrey,10
2979,11187,#3c3126,black,14
2980,11188,#191919,darkgrey,5
2981,11189,#9f9f9f,silver,14
2982,11192,#a88d52,darkkhaki,22
2983,11193,#484848,darkgrey,16
2984,11194,#b4b4b4,silver,12
2985,11195,#373737,darkslategrey,9
2986,11199,#61513f,rosybrown,16
2987,11201,#121212,grey,4
2988,19206,#101816,black,14
2989,11205,#b37b58,darkslategrey,16
2990,11207,#ebbca8,sandybrown,32
2991,11208,#282625,darkslategrey,4
2992,11209,#2e2e2e,dimgrey,13
2993,11226,#926f36,darkolivegreen,18
2994,11227,#70521c,slategrey,7
2995,11228,#262626,darkslategrey,14
2996,11229,#9d7842,saddlebrown,10
2997,11230,#ae7c32,black,22
2998,11231,#514c1b,black,11
2999,11232,#020101,darkolivegreen,21
3000,11233,#bca674,darkkhaki,10
3001,11234,#414725,darkolivegreen,8
3002,11235,#694e1e,darkolivegreen,13
3003,11239,#c8c4a0,tan,3
3004,11240,#6b6659,darkslategrey,21
3005,11241,#211e17,black,9
3006,11243,#8a652c,peru,10
3007,11247,#727272,whitesmoke,4
3008,11249,#a99071,silver,9
3009,11250,#e7e7e7,dimgrey,9
3010,16710,#414141,grey,15
3011,17558,#afb0b2,grey,5
3012,11253,#373429,darkslategrey,7
3013,11255,#c8b18a,rosybrown,6
3014,11256,#ebd098,darkslategrey,6
3015,11258,#030100,darkslategrey,16
3016,11259,#d3c0a4,darkolivegreen,12
3017,11260,#d4d4d4,darkslategrey,28
3018,11261,#82705b,darkslategrey,3
3019,11262,#bbbbbb,silver,8
3020,11263,#50231e,maroon,7
3021,11264,#202020,grey,3
3022,11265,#2c1716,black,14
3023,11267,#151515,black,2
3024,11269,#6c614e,grey,3
3025,701989,#b29a84,black,4
3026,11273,#151d28,rosybrown,53
3027,11274,#8b7356,dimgrey,8
3028,11275,#8b7d63,darkslategrey,29
3029,11276,#353634,darkslategrey,13
3030,11279,#c2c2c2,grey,6
3031,11284,#522e17,saddlebrown,18
3032,11287,#4c381f,darkolivegreen,21
3033,11289,#323a33,darkslategrey,17
3034,11290,#2a231c,black,14
3035,11301,#040405,sienna,8
3036,11302,#7d6a43,silver,13
3037,11308,#dfcfb6,tan,5
3038,11309,#a59a87,darkslategrey,3
3039,11310,#c1b297,darkolivegreen,11
3040,11311,#7b735a,grey,15
3041,11312,#2d270e,black,7
3042,11313,#494949,darkgrey,9
3043,11314,#9d9b91,slategrey,19
3044,11315,#1f1f1f,darkslategrey,23
3045,11316,#919794,darkolivegreen,12
3046,11317,#98947d,black,13
3047,11318,#c2bdac,silver,22
3048,11319,#9a9f8e,dimgrey,2
3049,11320,#a18e80,darkgrey,20
3050,11321,#73745a,darkolivegreen,18
3051,11322,#b0ac83,grey,5
3052,11324,#c1a88a,tan,3
3053,11325,#4d4b33,darkolivegreen,7
3054,11326,#aaa491,darkkhaki,6
3055,11328,#542f26,dimgrey,15
3056,11329,#2f1e1d,black,4
3057,11332,#99855f,lightgrey,9
3058,11347,#4a4a4a,darkslategrey,9
3059,11365,#c1c1c1,silver,3
3060,11366,#1c1c1c,silver,40
3061,11392,#d4c69c,darkslategrey,19
3062,11393,#827555,lightgrey,10
3063,11395,#000000,black,11
3064,11396,#e0b86e,sienna,7
3065,11397,#7c878f,darkslategrey,8
3066,16580,#b7ae77,goldenrod,10
3067,11406,#c2a05e,black,29
3068,11407,#26292d,darkslategrey,14
3069,11408,#000000,darkolivegreen,17
3070,11409,#6c5e41,darkslategrey,12
3071,684606,#211508,grey,18
3072,11417,#c6b695,rosybrown,16
3073,11418,#6f5f43,grey,32
3074,11433,#686868,darkslategrey,7
3075,11437,#313131,darkgrey,12
3076,11448,#7c6b52,darkslategrey,3
3077,11470,#462f13,black,13
3078,11471,#191919,darkslategrey,4
3079,11495,#d3d3d3,lightgrey,11
3080,11512,#41221a,saddlebrown,8
3081,11515,#808080,silver,18
3082,11517,#2a2a2a,darkgrey,10
3083,11518,#0a0704,sienna,3
3084,11543,#ad9777,rosybrown,7
3085,11553,#bfbfbf,darkslategrey,13
3086,11583,#241f19,black,15
3087,11587,#3b3022,black,23
3088,11597,#383838,silver,3
3089,11602,#000000,black,39
3090,11604,#706d64,grey,15
3091,11605,#5b422a,darkolivegreen,21
3092,11610,#2a3535,dimgrey,17
3093,11611,#2f332d,darkslategrey,22
3094,11614,#4a403b,saddlebrown,10
3095,11619,#5e4321,darkolivegreen,9
3096,11620,#23231e,darkslategrey,9
3097,11621,#ccaa93,rosybrown,16
3098,11623,#6e4e10,sienna,8
3099,11624,#cecece,dimgrey,3
3100,11626,#1d1f1c,darkslategrey,22
3101,11627,#151006,black,16
3102,11651,#95673b,sienna,14
3103,12923,#1b1e21,darkolivegreen,37
3104,11654,#d5cbc5,dimgrey,16
3105,11655,#dcdcdc,black,5
3106,11674,#6d3527,rosybrown,1
3107,11675,#2a261e,darkkhaki,1
3108,11683,#292929,darkgrey,8
3109,11703,#c5ac89,gainsboro,23
3110,11707,#6f6346,sienna,4
3111,11710,#c69148,black,10
3112,11712,#5b4625,grey,12
3113,11713,#b0b0b0,darkslategrey,2
3114,11716,#a1a1a1,silver,3
3115,11718,#040404,darkslategrey,23
3116,11719,#494132,grey,26
3117,11723,#2f2512,black,17
3118,11728,#252525,dimgrey,34
3119,11734,#231709,black,17
3120,11737,#49371b,darkkhaki,27
3121,11739,#664b2a,darkolivegreen,5
3122,11740,#020d14,black,6
3123,11741,#1d1d1d,darkslategrey,12
3124,11742,#e1cba6,grey,16
3125,11743,#1d1e1b,black,15
3126,16687,#5b5444,saddlebrown,40
3127,11744,#32261b,darkslategrey,16
3128,11745,#d7a52f,darkslategrey,8
3129,11758,#321c13,black,19
3130,11759,#847350,dimgrey,10
3131,11761,#8c857b,darksalmon,15
3132,11762,#837d69,darkslategrey,6
3133,11763,#64481b,dimgrey,6
3134,11764,#261512,black,25
3135,11765,#b6b6b6,grey,16
3136,11766,#a5a5a5,darkgrey,2
3137,11771,#3f3e3b,sienna,9
3138,11774,#808080,silver,14
3139,11775,#624230,lightgrey,21
3140,11776,#949494,dimgrey,8
3141,11777,#2d3134,grey,5
3142,11778,#e2cfb7,grey,32
3143,11779,#3c4545,brown,22
3144,11797,#b59e72,wheat,18
3145,11798,#cabda7,darkslategrey,52
3146,11799,#3c3c3c,dimgrey,3
3147,19815,#313329,dimgrey,7
3148,19816,#2d261f,darkslategrey,18
3149,11834,#8e7a44,grey,9
3150,11835,#543522,darkolivegreen,14
3151,11851,#c4c7cf,rosybrown,7
3152,11853,#9a9442,olivedrab,4
3153,11854,#94402e,darkgrey,8
3154,11864,#43433f,darkslategrey,10
3155,11867,#646552,silver,6
3156,11894,#3c2711,darkkhaki,18
3157,11903,#c9c0b3,darkslategrey,11
3158,11904,#797d72,grey,5
3159,11911,#333f3d,slategrey,15
3160,17574,#9a8557,darkkhaki,11
3161,11913,#0b0603,darkolivegreen,13
3162,11934,#8b8886,silver,4
3163,11936,#958978,dimgrey,11
3164,19523,#908c89,lightgrey,3
3165,19524,#181118,white,3
3166,20421,#3e4741,darkslategrey,8
3167,11938,#644d2a,maroon,9
3168,11939,#ac8c58,rosybrown,22
3169,18819,#222223,black,12
3170,18820,#4d472e,maroon,23
3171,11957,#614c2d,grey,13
3172,11983,#949494,lightslategrey,4
3173,11984,#1f1f1f,darkslategrey,12
3174,12024,#4f4531,darkolivegreen,14
3175,12534,#89afb0,slategrey,25
3176,12542,#a8754e,black,5
3177,12543,#935012,peru,15
3178,12545,#485b62,black,6
3179,12551,#252f2d,darkslategrey,2
3180,12569,#55584d,darkslategrey,2
3181,12578,#696969,darkgrey,26
3182,12600,#6e684c,black,15
3183,12601,#8c444b,lightslategrey,5
3184,12602,#312718,black,27
3185,12977,#6f6f6f,dimgrey,4
3186,12630,#393939,silver,11
3187,12631,#60302b,darkslategrey,34
3188,12643,#2f2f2f,grey,13
3189,12644,#261f1b,black,6
3190,12646,#947759,peru,13
3191,12690,#c7a76b,dimgrey,24
3192,12692,#010000,black,58
3193,12693,#b79b7c,wheat,14
3194,12695,#372a25,darkslategrey,36
3195,12696,#010101,darkolivegreen,14
3196,12698,#e1b9bc,black,19
3197,12699,#3d2b12,darkolivegreen,11
3198,12701,#987c4e,dimgrey,31
3199,12702,#c1ac89,darkolivegreen,11
3200,12704,#170b17,saddlebrown,18
3201,12705,#d6d6d6,black,3
3202,12707,#9b370b,maroon,2
3203,12708,#2b2d2b,darkslategrey,44
3204,12709,#0f0f0f,black,58
3205,12768,#d9d9d9,darkslategrey,11
3206,12769,#452c18,black,16
3207,12770,#1d1d1d,darkgrey,14
3208,12771,#4a4a4a,darkslategrey,15
3209,12772,#ba9d63,black,11
3210,12773,#655a3c,darkolivegreen,17
3211,12791,#080605,grey,16
3212,12792,#1f2420,black,13
3213,12793,#7f7467,dimgrey,25
3214,12794,#544a37,darkolivegreen,11
3215,12796,#d0b685,black,5
3216,12797,#8c8576,grey,8
3217,12799,#f1ddaf,darkslategrey,4
3218,12800,#594635,darkolivegreen,12
3219,12801,#968368,black,9
3220,12806,#bbc5cf,cadetblue,17
3221,12811,#bbb9a7,darkslategrey,12
3222,12819,#271c14,darkolivegreen,25
3223,12822,#28150d,black,11
3224,12823,#d4b585,darkolivegreen,22
3225,12824,#aba580,dimgrey,5
3226,12825,#dddddd,darkslategrey,12
3227,12827,#171717,black,18
3228,12828,#1c1915,black,22
3229,12829,#463f35,darkslategrey,8
3230,12830,#595959,darkslategrey,4
3231,12842,#d1c196,darkslategrey,8
3232,12843,#36392f,dimgrey,14
3233,12845,#484e43,darkslategrey,4
3234,14202,#adac9a,darkolivegreen,5
3235,12846,#050403,black,24
3236,12855,#2d1e10,black,18
3237,13003,#c6c6c6,darkslategrey,13
3238,13027,#979797,black,17
3239,12903,#dddddd,lightslategrey,13
3240,19022,#493d22,black,18
3241,20889,#764535,darkolivegreen,14
3242,20891,#675c49,dimgrey,10
3243,12917,#2b1916,black,24
3244,12975,#853b2e,tan,20
3245,13057,#221b1c,black,17
3246,12980,#dbd9d7,gainsboro,4
3247,13008,#7a7a7a,grey,4
3248,13209,#887756,grey,3
3249,13210,#26201b,black,20
3250,13211,#5b5038,dimgrey,14
3251,13223,#7a5d2b,darkslategrey,10
3252,13237,#755a36,darkslategrey,19
3253,13269,#88766b,rosybrown,5
3254,13043,#837b6b,darkslategrey,13
3255,13045,#252827,sienna,29
3256,13047,#7e754c,rosybrown,7
3257,13049,#2e2d33,dimgrey,14
3258,13051,#17232c,darkslategrey,27
3259,13052,#837e60,beige,11
3260,13053,#5e522e,grey,24
3261,13091,#2f2e24,sienna,2
3262,13093,#000000,sienna,17
3263,13094,#f9e1b5,sienna,28
3264,13095,#7e6241,darkslategrey,26
3265,13096,#1b1a1a,darkslategrey,34
3266,13097,#221f19,darkkhaki,5
3267,13099,#2f242b,silver,14
3268,13100,#5e5e5e,darkslategrey,6
3269,13101,#bebebe,black,3
3270,13102,#101010,lightgrey,7
3271,13103,#666666,silver,8
3272,13104,#d6c9bb,darkslategrey,22
3273,13105,#5b423f,grey,11
3274,13131,#8f9091,darkslategrey,4
3275,13132,#3c332a,dimgrey,6
3276,13171,#654d40,dimgrey,5
3277,13187,#664c35,darkslategrey,24
3278,13196,#afa69b,darkslategrey,14
3279,13198,#25221e,tan,16
3280,13199,#252e2a,darkslategrey,16
3281,13202,#503721,saddlebrown,8
3282,13204,#303030,darkslategrey,6
3283,13312,#716655,dimgrey,12
3284,13313,#585632,darkslategrey,19
3285,16875,#d2a663,darkolivegreen,26
3286,13331,#3e3220,sienna,6
3287,13334,#dfcbc5,darkslategrey,8
3288,13335,#b98161,dimgrey,11
3289,13336,#b3b3b3,dimgrey,4
3290,13337,#848679,dimgrey,25
3291,13338,#191311,darkolivegreen,22
3292,13343,#a5a5a5,lightgrey,17
3293,13344,#9f8f67,black,14
3294,13345,#7a562f,sienna,7
3295,13349,#4d3f1f,black,25
3296,13350,#535353,grey,23
3297,13351,#303030,darkslategrey,5
3298,13352,#c2c2c2,lightgrey,10
3299,13355,#344335,darkslategrey,18
3300,13356,#27221d,dimgrey,16
3301,13357,#4f4428,tan,17
3302,13360,#242424,whitesmoke,6
3303,14483,#eaeaea,black,13
3304,14513,#cecece,black,27
3305,14514,#b9a36c,silver,11
3306,21126,#ad8157,saddlebrown,12
3307,16590,#30272b,darkslategrey,27
3308,16591,#58391c,darkgoldenrod,23
3309,16592,#753e43,dimgrey,9
3310,17447,#1f1f1f,black,18
3311,17517,#776c59,darkkhaki,2
3312,20517,#816e59,darkslategrey,12
3313,437271,#47290e,darkolivegreen,18
3314,631985,#c2b39a,tan,25
3315,635384,#702f24,darkslategrey,14
3316,635395,#2e120d,black,14
3317,635399,#0d2f2b,darkslategrey,18
3318,635400,#7e7261,dimgrey,17
3319,635401,#55402e,black,11
3320,641448,#030302,darkslategrey,26
3321,694642,#9a9485,darkolivegreen,13
3322,698529,#221c13,black,2
3323,719486,#241611,sienna,3
3324,34018,#795937,grey,7
3325,34019,#5d5d5d,dimgrey,8
3326,34020,#4d4d4d,black,8
3327,35155,#8f8f90,lightslategrey,62
3328,35655,#969696,dimgrey,9
3329,33284,#1b160b,black,21
3330,436343,#c49b69,black,15
3331,436729,#1d1d1d,black,2
3332,36116,#b6ad9d,grey,6
3333,54791,#483925,black,18
3334,676034,#e5d7c4,tan,5
3335,48940,#292929,darkslategrey,17
3336,42344,#c7b79a,rosybrown,2
3337,701452,#595448,grey,9
3338,436571,#9a7f5b,darkslategrey,28
3339,435895,#010001,darkslategrey,16
3340,436689,#52462e,darkolivegreen,17
3341,436823,#655d40,grey,18
3342,436824,#43311d,rosybrown,12
3343,436808,#332310,black,25
3344,436809,#010101,saddlebrown,29
3345,436810,#1a110a,black,8
3346,726543,#000000,rosybrown,17
3347,435778,#cda477,black,16
3348,435779,#3c332a,black,12
3349,435892,#e3e0d0,darkslategrey,10
3350,436337,#042c34,black,22
3351,436338,#d2d2d2,lightgrey,5
3352,436339,#474747,darkgrey,2
3353,436340,#d0d0d0,grey,7
3354,436341,#0e0e0e,lightgrey,11
3355,436342,#404040,darkslategrey,13
3356,436344,#5f5f5f,darkslategrey,7
3357,436345,#746434,darkolivegreen,3
3358,436397,#474747,silver,2
3359,436398,#9e9e9e,silver,7
3360,436399,#2b2b2b,silver,24
3361,436404,#727272,darkslategrey,13
3362,436406,#dcc499,tan,18
3363,436408,#141414,black,24
3364,437772,#1a0f0d,black,17
3365,435737,#949b7c,darkkhaki,12
3366,435738,#535e4d,darkslategrey,7
3367,435740,#543d23,saddlebrown,5
3368,435741,#d2ceb9,silver,22
3369,435742,#684033,black,16
3370,435743,#464134,darkslategrey,12
3371,435744,#705f59,darkslategrey,9
3372,435745,#5b6b66,darkolivegreen,12
3373,435746,#35362a,darkolivegreen,9
3374,435747,#9b795f,darkolivegreen,10
3375,437722,#cb634b,maroon,13
3376,437724,#6a4d37,wheat,19
3377,437443,#3f362a,dimgrey,29
3378,437444,#8b8e85,darkgrey,21
3379,437445,#1a150c,black,17
3380,437446,#74441c,darkolivegreen,11
3381,437447,#292017,darkslategrey,32
3382,437448,#9e936d,grey,22
3383,437449,#332a20,dimgrey,36
3384,437450,#d0c19f,darkslategrey,25
3385,437451,#9a7c47,darkslategrey,10
3386,437452,#453c31,darkslategrey,18
3387,437453,#7d7964,darkslategrey,10
3388,437454,#000000,darkolivegreen,13
3389,435573,#514528,black,29
3390,435576,#05101c,black,5
3391,435577,#ad8e65,darkkhaki,7
3392,437007,#5c4a30,saddlebrown,12
3393,435578,#687a96,dimgrey,21
