Null,Object_id,Hex,Color name,Size
178,10259,#d7c29e,darkslategrey,25
179,10353,#0f0f0f,black,8
180,10371,#cabb99,tan,7
181,18447,#81703c,black,6
182,10421,#ddb065,saddlebrown,12
183,13401,#1f1f1f,darkslategrey,9
184,10423,#724322,black,15
185,20888,#000000,black,6
186,10431,#5d6e7c,darkslategrey,3
187,18354,#f6f6f3,whitesmoke,7
188,10435,#4a4a4a,grey,8
189,10436,#1c1c1c,black,6
190,10437,#434344,darkgrey,23
191,10438,#7d7a74,dimgrey,19
192,10439,#73837b,dimgrey,19
193,10440,#afabaa,darkgrey,19
194,10441,#afacab,darkgrey,19
195,10442,#8f887f,darkslategrey,20
196,10443,#9b7c67,rosybrown,19
197,10444,#915b4b,dimgrey,18
198,10445,#5e5a53,darkslategrey,24
199,10446,#a6a6a2,grey,18
200,10447,#94a39e,rosybrown,23
201,10449,#a6a6a0,darkgrey,21
202,10450,#948075,tan,20
203,10451,#a2785b,dimgrey,18
204,10452,#766d66,darkolivegreen,26
205,10453,#786c5e,darkgrey,23
206,10454,#8a8072,grey,18
207,10455,#aeabab,darkgrey,19
208,10456,#94806d,darkgrey,21
209,10457,#837f74,darkgrey,25
210,10458,#9ea6a0,darkgrey,28
211,10459,#afacaa,darkgrey,21
212,10460,#7b5141,lightslategrey,24
213,10461,#adaaa9,darkgrey,21
214,10462,#8b6c5a,darkslategrey,26
215,10463,#858e8a,grey,21
216,10464,#4f5a7e,lightsteelblue,3
217,10465,#563409,black,13
218,10466,#554538,black,1
219,10467,#555555,dimgrey,7
220,10468,#8f673e,darkslategrey,1
221,10469,#826740,saddlebrown,17
222,10470,#5a4022,darkolivegreen,1
223,10471,#362719,darkolivegreen,2
224,10472,#423727,darkslategrey,2
225,10473,#292215,black,20
226,10474,#ddc887,darkkhaki,25
227,10475,#706541,black,1
228,10476,#9f8566,black,24
229,10478,#282628,darkslategrey,5
230,10480,#82663b,darkslategrey,8
231,10481,#715d41,black,10
232,10482,#5d4223,peru,2
233,10491,#d2c9b3,burlywood,14
234,10492,#575757,grey,16
235,10496,#b3b1bd,silver,14
236,10497,#6a5529,black,3
